id,max_passengers,state,distance,speed,passenger_served,current_passengers,arrive_times,embark_times
0,20,1,1,0.0025,460,,17396|25478|28279|31080|33288|34969|36650|38331|40012|41693|43308|44359|51904|64212|67013|69814|72205|73139|74073|75007|75941|76875|77809,16556|22678|25479|28280|31081|33289|34970|36651|38332|40013|41694|43309|50854|61412|64213|67014|69815|72206|73140|74074|75008|75942|76876
1,20,1,1,0.0025,453,4444|4446|4447|4448|4450|4451|4452|4453|4455|4456|4459|4462|4464,12289|25496|28297|31098|33299|34980|36661|38342|40023|41704|43315|44366|53974|64072|66873|69674|72158|73092|74026|74960|75894|76828,11449|22696|25497|28298|31099|33300|34981|36662|38343|40024|41705|43316|52924|61272|64073|66874|69675|72159|73093|74027|74961|75895
2,20,1,1,0.0025,460,,24537|27338|30139|32724|34405|36086|37767|39448|41129|42810|44006|45057|54080|64411|67212|70013|72271|73205|74139|75073|76007|76941|81321,21737|24538|27339|30140|32725|34406|36087|37768|39449|41130|42811|44007|53030|61611|64412|67213|70014|72272|73206|74140|75074|76008|80388
3,20,1,1,0.0025,440,,22606|25647|28448|31249|33390|35071|36752|38433|40114|41795|43372|44423|56536|64283|67084|69885|72228|73162|74096|75030|75964|76898,21062|22847|25648|28449|31250|33391|35072|36753|38434|40115|41796|43373|55486|61483|64284|67085|69886|72229|73163|74097|75031|75965
4,20,0,0,0.0025,453,4431|4432|4437|4440|4445|4449|4454|4457|4458|4460|4461|4463|4465,24792|27593|30394|32877|34558|36239|37920|39601|41282|42963|44102|46364|55882|64677|67478|70279|72360|73294|74228|75162|76096|77030,21992|24793|27594|30395|32878|34559|36240|37921|39602|41283|42964|45314|54832|61877|64678|67479|70280|72361|73295|74229|75163|76097
5,20,1,1,0.0025,440,,24646|27447|30248|32789|34470|36151|37832|39513|41194|42875|44047|45098|60621|64485|67286|70087|72296|73230|74164|75098|76032|76966,21846|24647|27448|30249|32790|34471|36152|37833|39514|41195|42876|44048|57821|61685|64486|67287|70088|72297|73231|74165|75099|76033
6,20,0,0,0.0025,440,,25019|27820|30621|33013|34694|36375|38056|39737|41418|43099|44187|49105|57976|64867|67668|70469|72423|73357|74291|75225|76159|79027,22219|25020|27821|30622|33014|34695|36376|38057|39738|41419|43100|48055|56691|62067|64868|67669|70470|72424|73358|74292|75226|78094
7,20,1,1,0.0025,440,,24951|27752|30553|32972|34653|36334|38015|39696|41377|43058|44161|46662|62854|65655|68456|71257|72686|73620|74554|75488|76422|77356,22151|24952|27753|30554|32973|34654|36335|38016|39697|41378|43059|45612|60054|62855|65656|68457|71258|72687|73621|74555|75489|76423
8,20,0,0,0.0025,440,,25238|28039|30840|33144|34825|36506|38187|39868|41549|43218|44269|50757|61847|65205|68006|70807|72535|73469|74403|75337|76271|84392,22438|25239|28040|30841|33145|34826|36507|38188|39869|41550|43219|49707|59047|62405|65206|68007|70808|72536|73470|74404|75338|83459
9,20,1,1,0.0025,440,,25167|27968|30769|33102|34783|36464|38145|39826|41507|43188|44243|49201|64092|66893|69694|72165|73099|74033|74967|75901|76835|77769,22367|25168|27969|30770|33103|34784|36465|38146|39827|41508|43189|48151|61292|64093|66894|69695|72166|73100|74034|74968|75902|76836
