passenger_id,terminal_arrival_time,board_time,leave_time,destination_arrival_time,boarded_jeep,terminal
0,889,889,11449,12289,1,1
1,1240,1240,11449,12289,1,1
2,1861,1861,11449,12289,1,1
3,1889,1889,11449,12289,1,1
4,2483,2483,11449,12289,1,1
5,3529,3529,11449,12289,1,1
6,3976,3976,11449,12289,1,1
7,4223,4223,11449,12289,1,1
8,4224,4224,16556,17396,0,0
9,4249,4249,16556,17396,0,0
10,4590,4590,11449,12289,1,1
11,4599,4599,11449,12289,1,1
12,4709,4709,11449,12289,1,1
13,5374,5374,16556,17396,0,0
14,5377,5377,11449,12289,1,1
15,5466,5466,11449,12289,1,1
16,6049,6049,11449,12289,1,1
17,6360,6360,16556,17396,0,0
18,6779,6779,11449,12289,1,1
19,6956,6956,16556,17396,0,0
20,7597,7597,11449,12289,1,1
21,8380,8380,16556,17396,0,0
22,8463,8463,16556,17396,0,0
23,8712,8712,11449,12289,1,1
24,8966,8966,11449,12289,1,1
25,9274,9274,11449,12289,1,1
26,9302,9302,16556,17396,0,0
27,9367,9367,16556,17396,0,0
28,9617,9617,16556,17396,0,0
29,10403,10403,16556,17396,0,0
30,11449,11449,11449,12289,1,1
31,11466,11466,21062,22606,3,1
32,12426,12426,21062,22606,3,1
33,12516,12516,16556,17396,0,0
34,12847,12847,21062,22606,3,1
35,12943,12943,21062,22606,3,1
36,13188,13188,16556,17396,0,0
37,13275,13275,21062,22606,3,1
38,13384,13384,16556,17396,0,0
39,13573,13573,21062,22606,3,1
40,13636,13636,16556,17396,0,0
41,14096,14096,21062,22606,3,1
42,14528,14528,21062,22606,3,1
43,14662,14662,16556,17396,0,0
44,15175,15175,16556,17396,0,0
45,15294,15294,16556,17396,0,0
46,15418,15418,16556,17396,0,0
47,15750,15750,21062,22606,3,1
48,16299,16299,21062,22606,3,1
49,16476,16476,21062,22606,3,1
50,16556,16556,16556,17396,0,0
51,17268,17268,21737,24537,2,0
52,17668,17668,21062,22606,3,1
53,17692,17692,21062,22606,3,1
54,18203,18203,21062,22606,3,1
55,18287,18287,21737,24537,2,0
56,18351,18351,21062,22606,3,1
57,18759,18759,21737,24537,2,0
58,18800,18800,21737,24537,2,0
59,19020,19020,21062,22606,3,1
60,19728,19728,21737,24537,2,0
61,20333,20333,21062,22606,3,1
62,20447,20447,21062,22606,3,1
63,20990,20990,21062,22606,3,1
64,21062,21062,21062,22606,3,1
65,21605,21605,21737,24537,2,0
66,21607,21607,21846,24646,5,1
67,21609,21609,21846,24646,5,1
68,21617,21617,21737,24537,2,0
69,21619,21619,21737,24537,2,0
70,21647,21647,21737,24537,2,0
71,21648,21648,21846,24646,5,1
72,21656,21656,21737,24537,2,0
73,21658,21658,21846,24646,5,1
74,21672,21672,21737,24537,2,0
75,21673,21673,21737,24537,2,0
76,21673,21673,21846,24646,5,1
77,21674,21674,21846,24646,5,1
78,21688,21688,21737,24537,2,0
79,21696,21696,21737,24537,2,0
80,21700,21700,21846,24646,5,1
81,21702,21702,21846,24646,5,1
82,21705,21705,21737,24537,2,0
83,21707,21707,21737,24537,2,0
84,21712,21712,21737,24537,2,0
85,21713,21713,21737,24537,2,0
86,21718,21718,21737,24537,2,0
87,21722,21722,21846,24646,5,1
88,21727,21727,21846,24646,5,1
89,21729,21729,21846,24646,5,1
90,21737,21737,21737,24537,2,0
91,21744,21744,21846,24646,5,1
92,21746,21746,21846,24646,5,1
93,21750,21750,21846,24646,5,1
94,21752,21752,21992,24792,4,0
95,21770,21770,21846,24646,5,1
96,21772,21772,21846,24646,5,1
97,21775,21775,21992,24792,4,0
98,21799,21799,21992,24792,4,0
99,21799,21799,21846,24646,5,1
100,21805,21805,21992,24792,4,0
101,21807,21807,21992,24792,4,0
102,21808,21808,21846,24646,5,1
103,21813,21813,21992,24792,4,0
104,21814,21814,21992,24792,4,0
105,21821,21821,21992,24792,4,0
106,21831,21831,21846,24646,5,1
107,21846,21846,21846,24646,5,1
108,21855,21855,21992,24792,4,0
109,21867,21867,21992,24792,4,0
110,21867,21867,22151,24951,7,1
111,21874,21874,22151,24951,7,1
112,21882,21882,22151,24951,7,1
113,21887,21887,21992,24792,4,0
114,21888,21888,22151,24951,7,1
115,21892,21892,22151,24951,7,1
116,21898,21898,21992,24792,4,0
117,21899,21899,21992,24792,4,0
118,21912,21912,22151,24951,7,1
119,21916,21916,22151,24951,7,1
120,21925,21925,22151,24951,7,1
121,21936,21936,22151,24951,7,1
122,21941,21941,21992,24792,4,0
123,21944,21944,21992,24792,4,0
124,21946,21946,21992,24792,4,0
125,21958,21958,21992,24792,4,0
126,21972,21972,21992,24792,4,0
127,21982,21982,21992,24792,4,0
128,21992,21992,21992,24792,4,0
129,21993,21993,22219,25019,6,0
130,21995,21995,22219,25019,6,0
131,21998,21998,22151,24951,7,1
132,22000,22000,22219,25019,6,0
133,22007,22007,22219,25019,6,0
134,22025,22025,22219,25019,6,0
135,22039,22039,22151,24951,7,1
136,22042,22042,22219,25019,6,0
137,22046,22046,22219,25019,6,0
138,22046,22046,22151,24951,7,1
139,22052,22052,22151,24951,7,1
140,22079,22079,22219,25019,6,0
141,22082,22082,22151,24951,7,1
142,22091,22091,22151,24951,7,1
143,22092,22092,22219,25019,6,0
144,22094,22094,22151,24951,7,1
145,22099,22099,22219,25019,6,0
146,22102,22102,22219,25019,6,0
147,22106,22106,22219,25019,6,0
148,22114,22114,22219,25019,6,0
149,22126,22126,22219,25019,6,0
150,22132,22132,22219,25019,6,0
151,22135,22135,22219,25019,6,0
152,22141,22141,22151,24951,7,1
153,22148,22148,22151,24951,7,1
154,22149,22149,22151,24951,7,1
155,22151,22151,22151,24951,7,1
156,22153,22153,22367,25167,9,1
157,22157,22157,22367,25167,9,1
158,22159,22159,22367,25167,9,1
159,22162,22162,22367,25167,9,1
160,22185,22185,22367,25167,9,1
161,22196,22196,22219,25019,6,0
162,22198,22198,22219,25019,6,0
163,22198,22198,22367,25167,9,1
164,22201,22201,22367,25167,9,1
165,22204,22204,22367,25167,9,1
166,22216,22216,22367,25167,9,1
167,22218,22218,22219,25019,6,0
168,22219,22219,22219,25019,6,0
169,22219,22219,22367,25167,9,1
170,22232,22232,22438,25238,8,0
171,22235,22235,22367,25167,9,1
172,22239,22239,22438,25238,8,0
173,22254,22254,22438,25238,8,0
174,22267,22267,22438,25238,8,0
175,22267,22267,22367,25167,9,1
176,22270,22270,22438,25238,8,0
177,22273,22273,22438,25238,8,0
178,22274,22274,22438,25238,8,0
179,22281,22281,22438,25238,8,0
180,22282,22282,22367,25167,9,1
181,22286,22286,22438,25238,8,0
182,22292,22292,22367,25167,9,1
183,22301,22301,22367,25167,9,1
184,22309,22309,22438,25238,8,0
185,22313,22313,22438,25238,8,0
186,22326,22326,22367,25167,9,1
187,22327,22327,22438,25238,8,0
188,22330,22330,22438,25238,8,0
189,22342,22342,22367,25167,9,1
190,22344,22344,22367,25167,9,1
191,22350,22350,22438,25238,8,0
192,22350,22350,22367,25167,9,1
193,22367,22367,22367,25167,9,1
194,22371,22371,22678,25478,0,1
195,22372,22372,22438,25238,8,0
196,22375,22375,22678,25478,0,1
197,22385,22385,22438,25238,8,0
198,22397,22397,22438,25238,8,0
199,22426,22426,22438,25238,8,0
200,22435,22435,22438,25238,8,0
201,22438,22438,22438,25238,8,0
202,22455,22455,22678,25478,0,1
203,22462,22462,22696,25496,1,0
204,22473,22473,22696,25496,1,0
205,22493,22493,22696,25496,1,0
206,22495,22495,22678,25478,0,1
207,22503,22503,22678,25478,0,1
208,22506,22506,22678,25478,0,1
209,22521,22521,22696,25496,1,0
210,22522,22522,22678,25478,0,1
211,22523,22523,22696,25496,1,0
212,22526,22526,22696,25496,1,0
213,22543,22543,22696,25496,1,0
214,22546,22546,22678,25478,0,1
215,22554,22554,22678,25478,0,1
216,22556,22556,22678,25478,0,1
217,22568,22568,22696,25496,1,0
218,22574,22574,22678,25478,0,1
219,22577,22577,22696,25496,1,0
220,22589,22589,22696,25496,1,0
221,22594,22594,22696,25496,1,0
222,22594,22594,22678,25478,0,1
223,22597,22597,22678,25478,0,1
224,22605,22605,22678,25478,0,1
225,22616,22616,22696,25496,1,0
226,22636,22636,22696,25496,1,0
227,22638,22638,22678,25478,0,1
228,22639,22639,22696,25496,1,0
229,22646,22646,22678,25478,0,1
230,22655,22655,22696,25496,1,0
231,22661,22661,22678,25478,0,1
232,22664,22664,22696,25496,1,0
233,22664,22664,22678,25478,0,1
234,22665,22665,22678,25478,0,1
235,22676,22676,22696,25496,1,0
236,22678,22678,22678,25478,0,1
237,22680,22680,22696,25496,1,0
238,22692,24538,24538,27338,2,1
239,22693,24538,24538,27338,2,1
240,22695,22695,22696,25496,1,0
241,22696,22696,22696,25496,1,0
242,22699,22699,22847,25647,3,0
243,22704,22704,22847,25647,3,0
244,22708,22708,22847,25647,3,0
245,22710,22710,22847,25647,3,0
246,22711,24538,24538,27338,2,1
247,22714,22714,22847,25647,3,0
248,22716,22716,22847,25647,3,0
249,22716,24538,24538,27338,2,1
250,22717,22717,22847,25647,3,0
251,22722,24538,24538,27338,2,1
252,22731,22731,22847,25647,3,0
253,22732,22732,22847,25647,3,0
254,22733,22733,22847,25647,3,0
255,22736,22736,22847,25647,3,0
256,22748,24538,24538,27338,2,1
257,22753,24538,24538,27338,2,1
258,22769,24538,24538,27338,2,1
259,22770,22770,22847,25647,3,0
260,22773,24538,24538,27338,2,1
261,22778,22778,22847,25647,3,0
262,22783,24538,24538,27338,2,1
263,22792,24538,24538,27338,2,1
264,22805,22805,22847,25647,3,0
265,22806,22806,22847,25647,3,0
266,22809,22809,22847,25647,3,0
267,22812,24538,24538,27338,2,1
268,22820,24538,24538,27338,2,1
269,22826,24538,24538,27338,2,1
270,22827,24538,24538,27338,2,1
271,22829,22829,22847,25647,3,0
272,22834,22834,22847,25647,3,0
273,22837,24538,24538,27338,2,1
274,22843,24538,24538,27338,2,1
275,22844,22844,22847,25647,3,0
276,22847,22847,22847,25647,3,0
277,22849,24647,24647,27447,5,0
278,22850,24538,24538,27338,2,1
279,22851,24538,24538,27338,2,1
280,22857,24647,24647,27447,5,0
281,22858,24538,24538,27338,2,1
282,22860,24793,24793,27593,4,1
283,22863,24647,24647,27447,5,0
284,22868,24647,24647,27447,5,0
285,22870,24647,24647,27447,5,0
286,22875,24793,24793,27593,4,1
287,22880,24793,24793,27593,4,1
288,22883,24793,24793,27593,4,1
289,22884,24647,24647,27447,5,0
290,22886,24793,24793,27593,4,1
291,22887,24793,24793,27593,4,1
292,22889,24793,24793,27593,4,1
293,22897,24793,24793,27593,4,1
294,22903,24793,24793,27593,4,1
295,22904,24793,24793,27593,4,1
296,22905,24647,24647,27447,5,0
297,22907,24647,24647,27447,5,0
298,22909,24647,24647,27447,5,0
299,22911,24793,24793,27593,4,1
300,22920,24793,24793,27593,4,1
301,22921,24793,24793,27593,4,1
302,22923,24793,24793,27593,4,1
303,22927,24647,24647,27447,5,0
304,22932,24647,24647,27447,5,0
305,22939,24647,24647,27447,5,0
306,22950,24647,24647,27447,5,0
307,22984,24793,24793,27593,4,1
308,22991,24647,24647,27447,5,0
309,22992,24793,24793,27593,4,1
310,23002,24647,24647,27447,5,0
311,23007,24647,24647,27447,5,0
312,23011,24793,24793,27593,4,1
313,23013,24647,24647,27447,5,0
314,23017,24647,24647,27447,5,0
315,23025,24647,24647,27447,5,0
316,23028,24793,24793,27593,4,1
317,23042,24793,24793,27593,4,1
318,23048,24793,24793,27593,4,1
319,23055,24647,24647,27447,5,0
320,23061,25020,25020,27820,6,1
321,23064,24952,24952,27752,7,0
322,23080,24952,24952,27752,7,0
323,23095,25020,25020,27820,6,1
324,23097,24952,24952,27752,7,0
325,23105,25020,25020,27820,6,1
326,23108,24952,24952,27752,7,0
327,23114,25020,25020,27820,6,1
328,23117,24952,24952,27752,7,0
329,23125,25020,25020,27820,6,1
330,23132,24952,24952,27752,7,0
331,23142,24952,24952,27752,7,0
332,23149,25020,25020,27820,6,1
333,23152,24952,24952,27752,7,0
334,23154,25020,25020,27820,6,1
335,23156,24952,24952,27752,7,0
336,23156,25020,25020,27820,6,1
337,23157,24952,24952,27752,7,0
338,23160,25020,25020,27820,6,1
339,23161,25020,25020,27820,6,1
340,23163,25020,25020,27820,6,1
341,23164,25020,25020,27820,6,1
342,23168,24952,24952,27752,7,0
343,23171,24952,24952,27752,7,0
344,23175,25020,25020,27820,6,1
345,23179,25020,25020,27820,6,1
346,23187,25020,25020,27820,6,1
347,23190,24952,24952,27752,7,0
348,23208,24952,24952,27752,7,0
349,23208,25020,25020,27820,6,1
350,23210,25020,25020,27820,6,1
351,23223,24952,24952,27752,7,0
352,23223,25020,25020,27820,6,1
353,23224,24952,24952,27752,7,0
354,23235,25020,25020,27820,6,1
355,23249,24952,24952,27752,7,0
356,23262,24952,24952,27752,7,0
357,23268,25020,25020,27820,6,1
358,23272,24952,24952,27752,7,0
359,23274,25239,25239,28039,8,1
360,23279,24952,24952,27752,7,0
361,23282,25168,25168,27968,9,0
362,23295,25168,25168,27968,9,0
363,23299,25168,25168,27968,9,0
364,23306,25239,25239,28039,8,1
365,23319,25239,25239,28039,8,1
366,23326,25239,25239,28039,8,1
367,23330,25168,25168,27968,9,0
368,23336,25168,25168,27968,9,0
369,23338,25239,25239,28039,8,1
370,23342,25239,25239,28039,8,1
371,23348,25168,25168,27968,9,0
372,23348,25239,25239,28039,8,1
373,23357,25239,25239,28039,8,1
374,23368,25239,25239,28039,8,1
375,23376,25239,25239,28039,8,1
376,23381,25168,25168,27968,9,0
377,23382,25239,25239,28039,8,1
378,23387,25168,25168,27968,9,0
379,23399,25168,25168,27968,9,0
380,23401,25239,25239,28039,8,1
381,23403,25168,25168,27968,9,0
382,23403,25239,25239,28039,8,1
383,23407,25168,25168,27968,9,0
384,23413,25168,25168,27968,9,0
385,23421,25239,25239,28039,8,1
386,23422,25239,25239,28039,8,1
387,23425,25239,25239,28039,8,1
388,23426,25239,25239,28039,8,1
389,23429,25239,25239,28039,8,1
390,23441,25168,25168,27968,9,0
391,23444,25239,25239,28039,8,1
392,23445,25239,25239,28039,8,1
393,23449,25168,25168,27968,9,0
394,23452,25168,25168,27968,9,0
395,23454,25497,25497,28297,1,1
396,23461,25497,25497,28297,1,1
397,23463,25168,25168,27968,9,0
398,23466,25168,25168,27968,9,0
399,23466,25497,25497,28297,1,1
400,23467,25168,25168,27968,9,0
401,23475,25168,25168,27968,9,0
402,23476,25168,25168,27968,9,0
403,23478,25497,25497,28297,1,1
404,23479,25479,25479,28279,0,0
405,23481,25479,25479,28279,0,0
406,23483,25497,25497,28297,1,1
407,23487,25497,25497,28297,1,1
408,23490,25497,25497,28297,1,1
409,23496,25479,25479,28279,0,0
410,23498,25479,25479,28279,0,0
411,23499,25497,25497,28297,1,1
412,23513,25479,25479,28279,0,0
413,23516,25479,25479,28279,0,0
414,23527,25497,25497,28297,1,1
415,23546,25479,25479,28279,0,0
416,23548,25497,25497,28297,1,1
417,23558,25497,25497,28297,1,1
418,23568,25497,25497,28297,1,1
419,23575,25479,25479,28279,0,0
420,23586,25479,25479,28279,0,0
421,23597,25497,25497,28297,1,1
422,23598,25479,25479,28279,0,0
423,23615,25497,25497,28297,1,1
424,23622,25497,25497,28297,1,1
425,23624,25497,25497,28297,1,1
426,23627,25479,25479,28279,0,0
427,23627,25497,25497,28297,1,1
428,23632,25497,25497,28297,1,1
429,23648,25479,25479,28279,0,0
430,23657,25497,25497,28297,1,1
431,23659,25497,25497,28297,1,1
432,23675,25479,25479,28279,0,0
433,23682,25648,25648,28448,3,1
434,23685,25479,25479,28279,0,0
435,23688,25479,25479,28279,0,0
436,23692,25479,25479,28279,0,0
437,23700,25648,25648,28448,3,1
438,23701,25648,25648,28448,3,1
439,23703,25479,25479,28279,0,0
440,23710,25479,25479,28279,0,0
441,23712,25648,25648,28448,3,1
442,23722,25648,25648,28448,3,1
443,23725,25648,25648,28448,3,1
444,23749,25648,25648,28448,3,1
445,23757,25479,25479,28279,0,0
446,23763,25479,25479,28279,0,0
447,23766,27339,27339,30139,2,0
448,23773,27339,27339,30139,2,0
449,23777,25648,25648,28448,3,1
450,23790,25648,25648,28448,3,1
451,23793,27339,27339,30139,2,0
452,23797,27339,27339,30139,2,0
453,23798,25648,25648,28448,3,1
454,23809,27339,27339,30139,2,0
455,23810,27339,27339,30139,2,0
456,23811,25648,25648,28448,3,1
457,23826,27339,27339,30139,2,0
458,23830,25648,25648,28448,3,1
459,23835,25648,25648,28448,3,1
460,23837,27339,27339,30139,2,0
461,23837,25648,25648,28448,3,1
462,23848,27339,27339,30139,2,0
463,23856,27339,27339,30139,2,0
464,23862,25648,25648,28448,3,1
465,23864,27339,27339,30139,2,0
466,23868,27339,27339,30139,2,0
467,23870,25648,25648,28448,3,1
468,23872,27339,27339,30139,2,0
469,23878,27339,27339,30139,2,0
470,23879,25648,25648,28448,3,1
471,23881,27339,27339,30139,2,0
472,23882,27339,27339,30139,2,0
473,23904,27339,27339,30139,2,0
474,23912,25648,25648,28448,3,1
475,23919,27339,27339,30139,2,0
476,23920,25648,25648,28448,3,1
477,23923,27339,27339,30139,2,0
478,23936,25648,25648,28448,3,1
479,23939,27448,27448,30248,5,1
480,23943,27339,27339,30139,2,0
481,23946,27594,27594,30394,4,0
482,23947,27448,27448,30248,5,1
483,23962,27448,27448,30248,5,1
484,23963,27448,27448,30248,5,1
485,23970,27594,27594,30394,4,0
486,23977,27448,27448,30248,5,1
487,23984,27594,27594,30394,4,0
488,23989,27448,27448,30248,5,1
489,24000,27594,27594,30394,4,0
490,24000,27448,27448,30248,5,1
491,24002,27448,27448,30248,5,1
492,24004,27448,27448,30248,5,1
493,24010,27594,27594,30394,4,0
494,24013,27594,27594,30394,4,0
495,24015,27594,27594,30394,4,0
496,24021,27448,27448,30248,5,1
497,24030,27448,27448,30248,5,1
498,24042,27594,27594,30394,4,0
499,24043,27594,27594,30394,4,0
500,24048,27448,27448,30248,5,1
501,24064,27448,27448,30248,5,1
502,24075,27594,27594,30394,4,0
503,24078,27448,27448,30248,5,1
504,24080,27594,27594,30394,4,0
505,24094,27448,27448,30248,5,1
506,24103,27594,27594,30394,4,0
507,24111,27448,27448,30248,5,1
508,24124,27448,27448,30248,5,1
509,24125,27448,27448,30248,5,1
510,24131,27448,27448,30248,5,1
511,24145,27594,27594,30394,4,0
512,24149,27594,27594,30394,4,0
513,24149,27448,27448,30248,5,1
514,24150,27753,27753,30553,7,1
515,24154,27753,27753,30553,7,1
516,24157,27753,27753,30553,7,1
517,24167,27594,27594,30394,4,0
518,24172,27753,27753,30553,7,1
519,24199,27753,27753,30553,7,1
520,24201,27594,27594,30394,4,0
521,24203,27753,27753,30553,7,1
522,24208,27753,27753,30553,7,1
523,24210,27753,27753,30553,7,1
524,24219,27594,27594,30394,4,0
525,24227,27753,27753,30553,7,1
526,24240,27753,27753,30553,7,1
527,24291,27594,27594,30394,4,0
528,24303,27594,27594,30394,4,0
529,24303,27753,27753,30553,7,1
530,24304,27594,27594,30394,4,0
531,24314,27753,27753,30553,7,1
532,24321,27753,27753,30553,7,1
533,24324,27753,27753,30553,7,1
534,24328,27753,27753,30553,7,1
535,24333,27821,27821,30621,6,0
536,24337,27753,27753,30553,7,1
537,24344,27753,27753,30553,7,1
538,24349,27753,27753,30553,7,1
539,24351,27821,27821,30621,6,0
540,24354,27821,27821,30621,6,0
541,24359,27753,27753,30553,7,1
542,24370,27753,27753,30553,7,1
543,24374,27969,27969,30769,9,1
544,24378,27821,27821,30621,6,0
545,24383,27821,27821,30621,6,0
546,24389,27821,27821,30621,6,0
547,24399,27969,27969,30769,9,1
548,24400,27821,27821,30621,6,0
549,24404,27969,27969,30769,9,1
550,24405,27821,27821,30621,6,0
551,24413,27821,27821,30621,6,0
552,24424,27821,27821,30621,6,0
553,24424,27969,27969,30769,9,1
554,24428,27969,27969,30769,9,1
555,24432,27821,27821,30621,6,0
556,24437,27821,27821,30621,6,0
557,24448,27969,27969,30769,9,1
558,24449,27969,27969,30769,9,1
559,24456,27821,27821,30621,6,0
560,24461,27821,27821,30621,6,0
561,24463,27821,27821,30621,6,0
562,24480,27969,27969,30769,9,1
563,24481,27821,27821,30621,6,0
564,24490,27969,27969,30769,9,1
565,24492,27821,27821,30621,6,0
566,24499,27969,27969,30769,9,1
567,24507,27969,27969,30769,9,1
568,24511,27969,27969,30769,9,1
569,24523,27821,27821,30621,6,0
570,24527,27821,27821,30621,6,0
571,24529,27821,27821,30621,6,0
572,24540,27969,27969,30769,9,1
573,24547,27969,27969,30769,9,1
574,24550,27969,27969,30769,9,1
575,24558,28040,28040,30840,8,0
576,24562,28040,28040,30840,8,0
577,24566,28040,28040,30840,8,0
578,24572,27969,27969,30769,9,1
579,24589,27969,27969,30769,9,1
580,24592,28040,28040,30840,8,0
581,24593,28040,28040,30840,8,0
582,24594,28040,28040,30840,8,0
583,24594,27969,27969,30769,9,1
584,24597,27969,27969,30769,9,1
585,24600,28040,28040,30840,8,0
586,24612,27969,27969,30769,9,1
587,24614,28040,28040,30840,8,0
588,24614,28280,28280,31080,0,1
589,24628,28040,28040,30840,8,0
590,24631,28040,28040,30840,8,0
591,24637,28280,28280,31080,0,1
592,24646,28040,28040,30840,8,0
593,24647,28040,28040,30840,8,0
594,24649,28040,28040,30840,8,0
595,24650,28280,28280,31080,0,1
596,24662,28040,28040,30840,8,0
597,24668,28280,28280,31080,0,1
598,24676,28280,28280,31080,0,1
599,24680,28040,28040,30840,8,0
600,24682,28040,28040,30840,8,0
601,24692,28040,28040,30840,8,0
602,24693,28040,28040,30840,8,0
603,24697,28280,28280,31080,0,1
604,24712,28280,28280,31080,0,1
605,24725,28280,28280,31080,0,1
606,24736,28040,28040,30840,8,0
607,24744,28040,28040,30840,8,0
608,24745,28280,28280,31080,0,1
609,24753,28280,28280,31080,0,1
610,24762,28280,28280,31080,0,1
611,24767,28298,28298,31098,1,0
612,24774,28280,28280,31080,0,1
613,24775,28280,28280,31080,0,1
614,24780,28280,28280,31080,0,1
615,24783,28298,28298,31098,1,0
616,24784,28298,28298,31098,1,0
617,24789,28298,28298,31098,1,0
618,24792,28280,28280,31080,0,1
619,24799,28298,28298,31098,1,0
620,24801,28280,28280,31080,0,1
621,24805,28298,28298,31098,1,0
622,24806,28298,28298,31098,1,0
623,24811,28280,28280,31080,0,1
624,24826,28280,28280,31080,0,1
625,24830,28280,28280,31080,0,1
626,24833,28280,28280,31080,0,1
627,24857,28298,28298,31098,1,0
628,24859,30140,30140,32724,2,1
629,24863,30140,30140,32724,2,1
630,24864,30140,30140,32724,2,1
631,24867,28298,28298,31098,1,0
632,24872,28298,28298,31098,1,0
633,24886,28298,28298,31098,1,0
634,24895,28298,28298,31098,1,0
635,24897,28298,28298,31098,1,0
636,24899,30140,30140,32724,2,1
637,24900,28298,28298,31098,1,0
638,24900,30140,30140,32724,2,1
639,24902,30140,30140,32724,2,1
640,24918,30140,30140,32724,2,1
641,24920,28298,28298,31098,1,0
642,24922,30140,30140,32724,2,1
643,24927,30140,30140,32724,2,1
644,24931,30140,30140,32724,2,1
645,24932,30140,30140,32724,2,1
646,24947,28298,28298,31098,1,0
647,24955,28298,28298,31098,1,0
648,24969,28298,28298,31098,1,0
649,24981,28298,28298,31098,1,0
650,24990,30140,30140,32724,2,1
651,24992,30140,30140,32724,2,1
652,24994,30140,30140,32724,2,1
653,25006,28298,28298,31098,1,0
654,25011,28449,28449,31249,3,0
655,25014,30140,30140,32724,2,1
656,25028,28449,28449,31249,3,0
657,25036,28449,28449,31249,3,0
658,25039,30140,30140,32724,2,1
659,25041,30140,30140,32724,2,1
660,25052,30140,30140,32724,2,1
661,25059,30140,30140,32724,2,1
662,25075,28449,28449,31249,3,0
663,25076,28449,28449,31249,3,0
664,25076,30140,30140,32724,2,1
665,25085,28449,28449,31249,3,0
666,25090,28449,28449,31249,3,0
667,25094,30395,30395,32877,4,1
668,25104,30395,30395,32877,4,1
669,25136,30395,30395,32877,4,1
670,25154,28449,28449,31249,3,0
671,25159,28449,28449,31249,3,0
672,25161,30395,30395,32877,4,1
673,25174,30395,30395,32877,4,1
674,25186,28449,28449,31249,3,0
675,25192,30395,30395,32877,4,1
676,25195,28449,28449,31249,3,0
677,25201,28449,28449,31249,3,0
678,25203,28449,28449,31249,3,0
679,25203,30395,30395,32877,4,1
680,25204,28449,28449,31249,3,0
681,25207,30395,30395,32877,4,1
682,25208,28449,28449,31249,3,0
683,25210,30395,30395,32877,4,1
684,25215,28449,28449,31249,3,0
685,25217,28449,28449,31249,3,0
686,25220,28449,28449,31249,3,0
687,25225,30395,30395,32877,4,1
688,25231,28449,28449,31249,3,0
689,25232,30395,30395,32877,4,1
690,25248,30395,30395,32877,4,1
691,25253,28449,28449,31249,3,0
692,25270,30395,30395,32877,4,1
693,25281,30395,30395,32877,4,1
694,25282,30249,30249,32789,5,0
695,25295,30395,30395,32877,4,1
696,25296,30249,30249,32789,5,0
697,25300,30395,30395,32877,4,1
698,25306,30395,30395,32877,4,1
699,25308,30395,30395,32877,4,1
700,25314,30249,30249,32789,5,0
701,25320,30249,30249,32789,5,0
702,25324,30249,30249,32789,5,0
703,25331,30395,30395,32877,4,1
704,25334,30395,30395,32877,4,1
705,25337,30249,30249,32789,5,0
706,25338,30249,30249,32789,5,0
707,25343,30622,30622,33013,6,1
708,25352,30622,30622,33013,6,1
709,25353,30622,30622,33013,6,1
710,25365,30622,30622,33013,6,1
711,25376,30249,30249,32789,5,0
712,25380,30249,30249,32789,5,0
713,25386,30249,30249,32789,5,0
714,25401,30622,30622,33013,6,1
715,25402,30249,30249,32789,5,0
716,25415,30249,30249,32789,5,0
717,25417,30249,30249,32789,5,0
718,25428,30622,30622,33013,6,1
719,25429,30622,30622,33013,6,1
720,25431,30249,30249,32789,5,0
721,25432,30249,30249,32789,5,0
722,25441,30249,30249,32789,5,0
723,25449,30249,30249,32789,5,0
724,25452,30249,30249,32789,5,0
725,25455,30249,30249,32789,5,0
726,25461,30622,30622,33013,6,1
727,25463,30249,30249,32789,5,0
728,25471,30622,30622,33013,6,1
729,25488,30554,30554,32972,7,0
730,25493,30554,30554,32972,7,0
731,25494,30554,30554,32972,7,0
732,25504,30622,30622,33013,6,1
733,25511,30554,30554,32972,7,0
734,25513,30622,30622,33013,6,1
735,25522,30554,30554,32972,7,0
736,25526,30622,30622,33013,6,1
737,25532,30622,30622,33013,6,1
738,25547,30622,30622,33013,6,1
739,25550,30554,30554,32972,7,0
740,25550,30622,30622,33013,6,1
741,25551,30554,30554,32972,7,0
742,25551,30622,30622,33013,6,1
