passenger_id,terminal_arrival_time,board_time,leave_time,destination_arrival_time,boarded_jeep,terminal
0,141,141,11621,13621,0,0
1,232,232,10543,12543,1,1
2,621,621,10543,12543,1,1
3,1693,1693,11621,13621,0,0
4,1793,1793,10543,12543,1,1
5,1864,1864,11621,13621,0,0
6,2294,2294,10543,12543,1,1
7,2473,2473,10543,12543,1,1
8,2937,2937,10543,12543,1,1
9,3089,3089,11621,13621,0,0
10,3146,3146,10543,12543,1,1
11,3701,3701,11621,13621,0,0
12,3819,3819,11621,13621,0,0
13,4173,4173,10543,12543,1,1
14,4286,4286,10543,12543,1,1
15,4346,4346,11621,13621,0,0
16,4606,4606,11621,13621,0,0
17,4637,4637,10543,12543,1,1
18,4821,4821,10543,12543,1,1
19,4979,4979,11621,13621,0,0
20,5037,5037,10543,12543,1,1
21,5319,5319,10543,12543,1,1
22,5359,5359,10543,12543,1,1
23,5928,5928,11621,13621,0,0
24,6354,6354,11621,13621,0,0
25,6361,6361,10543,12543,1,1
26,6617,6617,11621,13621,0,0
27,6799,6799,10543,12543,1,1
28,6817,6817,11621,13621,0,0
29,7498,7498,10543,12543,1,1
30,7873,7873,11621,13621,0,0
31,7917,7917,10543,12543,1,1
32,8162,8162,10543,12543,1,1
33,8291,8291,11621,13621,0,0
34,8474,8474,11621,13621,0,0
35,8795,8795,11621,13621,0,0
36,8798,8798,11621,13621,0,0
37,10367,10367,11621,13621,0,0
38,10543,10543,10543,12543,1,1
39,10790,10790,21672,28338,3,1
40,11034,11034,21672,28338,3,1
41,11621,11621,11621,13621,0,0
42,11743,11743,21620,28286,2,0
43,11994,11994,21620,28286,2,0
44,12049,12049,21672,28338,3,1
45,13036,13036,21620,28286,2,0
46,13064,13064,21672,28338,3,1
47,13124,13124,21620,28286,2,0
48,13335,13335,21620,28286,2,0
49,13636,13636,21620,28286,2,0
50,14878,14878,21620,28286,2,0
51,15212,15212,21672,28338,3,1
52,15411,15411,21620,28286,2,0
53,15699,15699,21672,28338,3,1
54,16021,16021,21620,28286,2,0
55,16130,16130,21672,28338,3,1
56,16708,16708,21620,28286,2,0
57,16800,16800,21620,28286,2,0
58,16828,16828,21672,28338,3,1
59,17615,17615,21620,28286,2,0
60,17700,17700,21672,28338,3,1
61,17706,17706,21672,28338,3,1
62,17864,17864,21672,28338,3,1
63,18402,18402,21620,28286,2,0
64,19010,19010,21672,28338,3,1
65,19017,19017,21620,28286,2,0
66,19827,19827,21620,28286,2,0
67,20176,20176,21672,28338,3,1
68,20439,20439,21672,28338,3,1
69,20769,20769,21620,28286,2,0
70,21118,21118,21672,28338,3,1
71,21255,21255,21672,28338,3,1
72,21282,21282,21672,28338,3,1
