id,max_passengers,state,distance,speed,passenger_served,current_passengers,arrive_times,embark_times
0,20,1,1,0.0025,220,,10434|24949|27807|29704|32550|37528|57393|64742|67013|69409|71490,10034|23616|26474|28371|31318|36728|56894|63409|65680|68076|70157
1,20,0,0,0.0025,234,4373|4374|4376|4377|4379|4382|4383|4384|4386|4387|4390|4392|4397|4399,11357|25341|27225|30328|32137|38534|57986|64554|67238|69223|71904,10957|24008|25892|28995|30804|37734|57245|63221|65905|67890|70571
2,20,1,1,0.0025,220,,20241|25182|27999|29859|32713|39085|60398|64945|67233|69681|71804,19841|23849|26666|28526|31589|38285|59065|63612|65900|68348|70471
3,20,0,0,0.0025,220,,20739|25570|27464|30585|32297|39941|61599|64753|67485|69405|72045,20339|24237|26131|29252|30964|39141|60266|63420|66152|68072|70803
4,20,1,1,0.0025,220,,23081|25330|28230|30207|32821|40250|62481|65206|67435|69897|72049,21748|23997|26897|28874|31769|39450|61148|63873|66102|68564|70814
5,20,0,0,0.0025,220,,23175|25861|27774|30847|32540|41147|62708|64984|67719|69754|72144,21842|24528|26441|29514|31301|40347|61375|63651|66386|68421|71100
6,20,1,1,0.0025,220,,23378|25564|28515|30414|32978|41486|62784|65501|67624|70067|72102,22045|24231|27182|29081|32031|40686|61451|64168|66291|68734|70975
7,20,0,0,0.0025,220,,23334|26093|28051|31104|32694|42426|62944|65232|67965|69994|72222,22001|24760|26718|29771|31557|41626|61611|63899|66632|68661|71333
8,20,1,1,0.0025,220,,23689|25731|28747|30636|33089|42817|63047|65702|67900|70363|72176,22356|24398|27414|29303|32215|42017|61714|64369|66567|69030|71196
9,20,0,0,0.0025,220,,23591|26300|28328|31328|32802|43456|63218|65477|68127|70178|72310,22258|24967|26995|29995|31738|42810|61885|64144|66794|68845|71599
10,20,1,1,0.0025,220,,23995|26038|28998|30957|33441|43789|63368|65893|68065|70575|72239,22662|24705|27665|29624|32641|43290|62035|64560|66732|69242|71386
11,20,0,0,0.0025,220,,23839|26533|28592|31587|32956|45302|63460|65753|68310|70364|72387,22506|25200|27259|30254|31995|44803|62127|64420|66977|69031|71829
12,20,1,1,0.0025,220,,24196|26259|29329|31174|34337|45953|63594|66171|68356|70847|72303,22863|24926|27996|29841|33537|45454|62261|64838|67023|69514|71578
13,20,0,0,0.0025,220,,24045|26717|28804|31827|33128|47572|63797|65973|68512|70616|75369,22712|25384|27471|30494|32281|47073|62464|64640|67179|69283|74925
14,20,1,1,0.0025,220,,24490|26446|29603|31469|35101|48264|63854|66478|68611|71044|72373,23157|25113|28270|30136|34301|47765|62521|65145|67278|69711|71786
15,20,0,0,0.0025,220,,24434|26902|29024|32016|33786|49295|64039|66249|68648|70838|80181,23101|25569|27691|30683|32986|48796|62706|64916|67315|69505|79737
16,20,1,1,0.0025,220,,24713|26652|29813|31658|36426|52235|64069|66713|68787|71267|72811,23380|25319|28480|30325|35626|51736|62736|65380|67454|69934|72367
17,20,0,0,0.0025,220,,24650|27162|29231|32236|35419|51915|64305|66510|68905|71100|85888,23317|25829|27898|30903|34619|51416|62972|65177|67572|69767|85444
18,20,1,1,0.0025,220,,24955|26868|30085|31907|37209|54416|64292|67028|69036|71619|82876,23622|25535|28752|30574|36409|53917|62959|65695|67703|70286|82432
19,20,1,1,0.0025,207,4391|4393|4394|4395|4396|4398|4400,24799|27509|29500|32403|36191|54185|64579|66687|69171|71292,23466|26176|28167|31072|35391|53686|63246|65354|67838|69959
