passenger_id,terminal_arrival_time,board_time,leave_time,destination_arrival_time,boarded_jeep,terminal
0,141,141,10957,11357,1,1
1,146,146,10034,10434,0,0
2,290,290,10957,11357,1,1
3,1384,1384,10034,10434,0,0
4,1442,1442,10034,10434,0,0
5,1700,1700,10957,11357,1,1
6,2404,2404,10957,11357,1,1
7,2680,2680,10034,10434,0,0
8,2744,2744,10034,10434,0,0
9,2977,2977,10034,10434,0,0
10,3133,3133,10957,11357,1,1
11,3408,3408,10957,11357,1,1
12,3472,3472,10957,11357,1,1
13,3882,3882,10957,11357,1,1
14,4390,4390,10957,11357,1,1
15,4458,4458,10957,11357,1,1
16,4460,4460,10034,10434,0,0
17,4519,4519,10034,10434,0,0
18,4679,4679,10957,11357,1,1
19,4942,4942,10034,10434,0,0
20,5071,5071,10957,11357,1,1
21,5130,5130,10957,11357,1,1
22,5594,5594,10957,11357,1,1
23,5751,5751,10034,10434,0,0
24,6080,6080,10034,10434,0,0
25,6983,6983,10034,10434,0,0
26,7005,7005,10034,10434,0,0
27,7071,7071,10957,11357,1,1
28,7148,7148,10957,11357,1,1
29,7765,7765,10957,11357,1,1
30,7970,7970,10034,10434,0,0
31,8245,8245,10957,11357,1,1
32,8518,8518,10034,10434,0,0
33,8831,8831,10957,11357,1,1
34,8855,8855,10034,10434,0,0
35,8980,8980,10034,10434,0,0
36,9246,9246,10034,10434,0,0
37,9388,9388,10034,10434,0,0
38,10034,10034,10034,10434,0,0
39,10109,10109,19841,20241,2,0
40,10708,10708,19841,20241,2,0
41,10717,10717,19841,20241,2,0
42,10957,10957,10957,11357,1,1
43,11190,11190,19841,20241,2,0
44,11432,11432,20339,20739,3,1
45,11899,11899,19841,20241,2,0
46,11916,11916,20339,20739,3,1
47,11926,11926,19841,20241,2,0
48,12634,12634,19841,20241,2,0
49,12981,12981,19841,20241,2,0
50,13209,13209,19841,20241,2,0
51,13351,13351,20339,20739,3,1
52,13499,13499,19841,20241,2,0
53,13726,13726,20339,20739,3,1
54,13825,13825,20339,20739,3,1
55,14009,14009,19841,20241,2,0
56,14753,14753,20339,20739,3,1
57,14914,14914,20339,20739,3,1
58,14969,14969,19841,20241,2,0
59,15374,15374,20339,20739,3,1
60,15404,15404,20339,20739,3,1
61,15911,15911,19841,20241,2,0
62,16172,16172,20339,20739,3,1
63,16287,16287,19841,20241,2,0
64,17054,17054,20339,20739,3,1
65,17220,17220,19841,20241,2,0
66,17594,17594,20339,20739,3,1
67,17956,17956,20339,20739,3,1
68,18517,18517,20339,20739,3,1
69,18683,18683,20339,20739,3,1
70,18844,18844,19841,20241,2,0
71,18858,18858,20339,20739,3,1
72,19150,19150,20339,20739,3,1
73,19408,19408,19841,20241,2,0
74,19458,19458,19841,20241,2,0
75,19476,19476,19841,20241,2,0
76,19841,19841,19841,20241,2,0
77,20188,20188,20339,20739,3,1
78,20236,20236,20339,20739,3,1
79,20339,20339,20339,20739,3,1
80,20362,20362,21842,23175,5,1
81,20526,20526,21748,23081,4,0
82,21141,21141,21748,23081,4,0
83,21410,21410,21748,23081,4,0
84,21470,21470,21748,23081,4,0
85,21604,21604,21748,23081,4,0
86,21614,21614,21748,23081,4,0
87,21614,21614,21842,23175,5,1
88,21619,21619,21842,23175,5,1
89,21621,21621,21748,23081,4,0
90,21622,21622,21748,23081,4,0
91,21628,21628,21842,23175,5,1
92,21630,21630,21748,23081,4,0
93,21632,21632,21748,23081,4,0
94,21647,21647,21842,23175,5,1
95,21653,21653,21748,23081,4,0
96,21664,21664,21748,23081,4,0
97,21669,21669,21748,23081,4,0
98,21678,21678,21748,23081,4,0
99,21687,21687,21748,23081,4,0
100,21689,21689,21842,23175,5,1
101,21690,21690,21748,23081,4,0
102,21721,21721,21842,23175,5,1
103,21730,21730,21842,23175,5,1
104,21736,21736,21748,23081,4,0
105,21743,21743,21748,23081,4,0
106,21745,21745,21842,23175,5,1
107,21746,21746,21748,23081,4,0
108,21748,21748,21748,23081,4,0
109,21749,21749,22045,23378,6,0
110,21761,21761,22045,23378,6,0
111,21763,21763,21842,23175,5,1
112,21766,21766,21842,23175,5,1
113,21773,21773,21842,23175,5,1
114,21782,21782,21842,23175,5,1
115,21804,21804,21842,23175,5,1
116,21806,21806,21842,23175,5,1
117,21815,21815,22045,23378,6,0
118,21818,21818,21842,23175,5,1
119,21820,21820,21842,23175,5,1
120,21825,21825,22045,23378,6,0
121,21832,21832,21842,23175,5,1
122,21833,21833,21842,23175,5,1
123,21836,21836,22045,23378,6,0
124,21842,21842,21842,23175,5,1
125,21846,21846,22001,23334,7,1
126,21858,21858,22045,23378,6,0
127,21861,21861,22001,23334,7,1
128,21876,21876,22001,23334,7,1
129,21889,21889,22001,23334,7,1
130,21892,21892,22045,23378,6,0
131,21923,21923,22001,23334,7,1
132,21927,21927,22045,23378,6,0
133,21927,21927,22001,23334,7,1
134,21929,21929,22001,23334,7,1
135,21930,21930,22001,23334,7,1
136,21936,21936,22045,23378,6,0
137,21945,21945,22001,23334,7,1
138,21962,21962,22045,23378,6,0
139,21964,21964,22001,23334,7,1
140,21966,21966,22001,23334,7,1
141,21972,21972,22001,23334,7,1
142,21974,21974,22045,23378,6,0
143,21976,21976,22001,23334,7,1
144,21979,21979,22045,23378,6,0
145,21980,21980,22001,23334,7,1
146,21981,21981,22045,23378,6,0
147,21985,21985,22001,23334,7,1
148,21987,21987,22001,23334,7,1
149,21988,21988,22001,23334,7,1
150,21992,21992,22045,23378,6,0
151,21996,21996,22001,23334,7,1
152,22000,22000,22001,23334,7,1
153,22001,22001,22001,23334,7,1
154,22007,22007,22258,23591,9,1
155,22009,22009,22258,23591,9,1
156,22023,22023,22045,23378,6,0
157,22027,22027,22045,23378,6,0
158,22032,22032,22045,23378,6,0
159,22036,22036,22045,23378,6,0
160,22036,22036,22258,23591,9,1
161,22043,22043,22045,23378,6,0
162,22045,22045,22045,23378,6,0
163,22047,22047,22258,23591,9,1
164,22053,22053,22258,23591,9,1
165,22059,22059,22258,23591,9,1
166,22065,22065,22356,23689,8,0
167,22066,22066,22258,23591,9,1
168,22072,22072,22258,23591,9,1
169,22078,22078,22258,23591,9,1
170,22094,22094,22258,23591,9,1
171,22095,22095,22258,23591,9,1
172,22097,22097,22258,23591,9,1
173,22104,22104,22356,23689,8,0
174,22108,22108,22356,23689,8,0
175,22113,22113,22356,23689,8,0
176,22127,22127,22356,23689,8,0
177,22131,22131,22258,23591,9,1
178,22132,22132,22356,23689,8,0
179,22153,22153,22356,23689,8,0
180,22160,22160,22258,23591,9,1
181,22179,22179,22356,23689,8,0
182,22179,22179,22258,23591,9,1
183,22183,22183,22258,23591,9,1
184,22191,22191,22356,23689,8,0
185,22192,22192,22356,23689,8,0
186,22196,22196,22258,23591,9,1
187,22197,22197,22258,23591,9,1
188,22199,22199,22356,23689,8,0
189,22208,22208,22356,23689,8,0
190,22217,22217,22356,23689,8,0
191,22250,22250,22258,23591,9,1
192,22254,22254,22356,23689,8,0
193,22258,22258,22258,23591,9,1
194,22274,22274,22506,23839,11,1
195,22276,22276,22356,23689,8,0
196,22278,22278,22506,23839,11,1
197,22306,22306,22356,23689,8,0
198,22310,22310,22356,23689,8,0
199,22312,22312,22356,23689,8,0
200,22319,22319,22506,23839,11,1
201,22322,22322,22356,23689,8,0
202,22329,22329,22506,23839,11,1
203,22340,22340,22506,23839,11,1
204,22342,22342,22506,23839,11,1
205,22343,22343,22506,23839,11,1
206,22345,22345,22506,23839,11,1
207,22355,22355,22506,23839,11,1
208,22356,22356,22356,23689,8,0
209,22361,22361,22506,23839,11,1
210,22363,22363,22662,23995,10,0
211,22365,22365,22506,23839,11,1
212,22372,22372,22662,23995,10,0
213,22396,22396,22662,23995,10,0
214,22414,22414,22506,23839,11,1
215,22423,22423,22506,23839,11,1
216,22430,22430,22662,23995,10,0
217,22438,22438,22662,23995,10,0
218,22443,22443,22662,23995,10,0
219,22451,22451,22662,23995,10,0
220,22459,22459,22662,23995,10,0
221,22460,22460,22662,23995,10,0
222,22466,22466,22506,23839,11,1
223,22468,22468,22662,23995,10,0
224,22470,22470,22506,23839,11,1
225,22471,22471,22506,23839,11,1
226,22473,22473,22506,23839,11,1
227,22474,22474,22662,23995,10,0
228,22476,22476,22506,23839,11,1
229,22484,22484,22506,23839,11,1
230,22492,22492,22662,23995,10,0
231,22506,22506,22506,23839,11,1
232,22509,22509,22712,24045,13,1
233,22514,22514,22712,24045,13,1
234,22534,22534,22662,23995,10,0
235,22540,22540,22712,24045,13,1
236,22548,22548,22662,23995,10,0
237,22558,22558,22712,24045,13,1
238,22563,22563,22712,24045,13,1
239,22569,22569,22712,24045,13,1
240,22570,22570,22662,23995,10,0
241,22579,22579,22712,24045,13,1
242,22588,22588,22712,24045,13,1
243,22593,22593,22662,23995,10,0
244,22598,22598,22712,24045,13,1
245,22604,22604,22712,24045,13,1
246,22612,22612,22662,23995,10,0
247,22616,22616,22712,24045,13,1
248,22619,22619,22662,23995,10,0
249,22622,22622,22712,24045,13,1
250,22628,22628,22662,23995,10,0
251,22637,22637,22712,24045,13,1
252,22643,22643,22712,24045,13,1
253,22649,22649,22712,24045,13,1
254,22652,22652,22712,24045,13,1
255,22662,22662,22662,23995,10,0
256,22675,22675,22863,24196,12,0
257,22680,22680,22712,24045,13,1
258,22688,22688,22712,24045,13,1
259,22690,22690,22863,24196,12,0
260,22696,22696,22863,24196,12,0
261,22701,22701,22712,24045,13,1
262,22703,22703,22863,24196,12,0
263,22704,22704,22863,24196,12,0
264,22712,22712,22712,24045,13,1
265,22714,22714,22863,24196,12,0
266,22717,22717,23101,24434,15,1
267,22728,22728,22863,24196,12,0
268,22729,22729,23101,24434,15,1
269,22730,22730,22863,24196,12,0
270,22740,22740,22863,24196,12,0
271,22753,22753,22863,24196,12,0
272,22753,22753,23101,24434,15,1
273,22756,22756,22863,24196,12,0
274,22763,22763,23101,24434,15,1
275,22772,22772,22863,24196,12,0
276,22775,22775,23101,24434,15,1
277,22780,22780,22863,24196,12,0
278,22790,22790,22863,24196,12,0
279,22791,22791,22863,24196,12,0
280,22813,22813,23101,24434,15,1
281,22816,22816,22863,24196,12,0
282,22826,22826,22863,24196,12,0
283,22840,22840,22863,24196,12,0
284,22845,22845,22863,24196,12,0
285,22863,22863,22863,24196,12,0
286,22864,22864,23101,24434,15,1
287,22873,22873,23101,24434,15,1
288,22883,22883,23101,24434,15,1
289,22887,22887,23157,24490,14,0
290,22890,22890,23157,24490,14,0
291,22893,22893,23101,24434,15,1
292,22919,22919,23101,24434,15,1
293,22956,22956,23157,24490,14,0
294,22958,22958,23101,24434,15,1
295,22966,22966,23101,24434,15,1
296,22969,22969,23157,24490,14,0
297,22986,22986,23157,24490,14,0
298,22992,22992,23157,24490,14,0
299,22994,22994,23101,24434,15,1
300,23006,23006,23101,24434,15,1
301,23026,23026,23157,24490,14,0
302,23030,23030,23101,24434,15,1
303,23031,23031,23157,24490,14,0
304,23039,23039,23157,24490,14,0
305,23046,23046,23101,24434,15,1
306,23053,23053,23157,24490,14,0
307,23053,23053,23101,24434,15,1
308,23058,23058,23157,24490,14,0
309,23064,23064,23157,24490,14,0
310,23081,23081,23157,24490,14,0
311,23088,23088,23101,24434,15,1
312,23090,23090,23157,24490,14,0
313,23092,23092,23157,24490,14,0
314,23101,23101,23101,24434,15,1
315,23106,23106,23317,24650,17,1
316,23117,23117,23157,24490,14,0
317,23123,23123,23157,24490,14,0
318,23124,23124,23317,24650,17,1
319,23130,23130,23157,24490,14,0
320,23131,23131,23317,24650,17,1
321,23137,23137,23317,24650,17,1
322,23138,23138,23317,24650,17,1
323,23139,23139,23317,24650,17,1
324,23149,23149,23317,24650,17,1
325,23153,23153,23157,24490,14,0
326,23157,23157,23157,24490,14,0
327,23160,23160,23380,24713,16,0
328,23170,23170,23317,24650,17,1
329,23175,23175,23317,24650,17,1
330,23178,23178,23317,24650,17,1
331,23179,23179,23380,24713,16,0
332,23187,23187,23317,24650,17,1
333,23192,23192,23317,24650,17,1
334,23201,23201,23380,24713,16,0
335,23210,23210,23380,24713,16,0
336,23214,23214,23317,24650,17,1
337,23216,23216,23317,24650,17,1
338,23234,23234,23380,24713,16,0
339,23247,23247,23317,24650,17,1
340,23250,23250,23380,24713,16,0
341,23266,23266,23380,24713,16,0
342,23266,23266,23317,24650,17,1
343,23269,23269,23317,24650,17,1
344,23276,23276,23380,24713,16,0
345,23277,23277,23317,24650,17,1
346,23280,23280,23317,24650,17,1
347,23303,23303,23380,24713,16,0
348,23308,23308,23380,24713,16,0
349,23317,23317,23317,24650,17,1
350,23318,23318,23466,24799,19,1
351,23321,23321,23380,24713,16,0
352,23332,23332,23380,24713,16,0
353,23335,23335,23380,24713,16,0
354,23337,23337,23380,24713,16,0
