id,max_passengers,state,distance,speed,passenger_served,current_passengers,arrive_times,embark_times
0,20,0,0,0.0025,201,,2639|20639|26563|29364|32165|33939|36675|54811|64922|67723|70524|72441|76895|86309,1799|19799|23763|26564|29365|32166|34995|53761|62122|64923|67724|70525|75962|85376
1,20,0,0,0.0025,220,,2639|20639|26759|29560|32361|34057|39901|51368|65094|67895|70696|72498|73432,1799|19799|23959|26760|29561|32362|38221|50318|62294|65095|67896|70697|72499
2,20,1,1,0.0025,207,4420|4422|4424,4439|24396|27197|29998|32639|34320|38083|56611|65172|67973|70774|72525|78695,3599|21599|24397|27198|29999|32640|36403|55561|62372|65173|67974|70775|77762
3,20,0,0,0.0025,220,,4439|24396|27197|29998|32639|34320|40719|53168|65293|68094|70895|72565|73499,3599|21599|24397|27198|29999|32640|39039|52118|62493|65294|68095|70896|72566
4,20,1,1,0.0025,220,,6239|24669|27470|30271|32803|34484|39344|59762|65447|68248|71049|72616|80495,5399|21869|24670|27471|30272|32804|37664|57361|62647|65448|68249|71050|79562
5,20,0,0,0.0025,237,,6239|24610|27411|30212|32767|34448|41533|54968|65546|68347|71148|72649|73583,5399|21810|24611|27412|30213|32768|39853|53918|62746|65547|68348|71149|72650
6,20,1,1,0.0025,225,,8039|24989|27790|30591|32995|34676|41103|61961|65633|68434|71235|72678|82295,7199|22189|24990|27791|30592|32996|39423|59161|62833|65634|68435|71236|81362
7,20,0,0,0.0025,242,,8039|24842|27643|30444|32907|34588|42973|56482|65774|68575|71376|72725|73659,7199|22042|24843|27644|30445|32908|41293|55432|62974|65775|68576|71377|72726
8,20,1,1,0.0025,217,,9839|25227|28028|30829|33138|34819|42245|63761|66562|69363|72054|72988|84095,8999|22427|25228|28029|30830|33139|40565|60961|63762|66563|69364|72055|83162
9,20,0,0,0.0025,229,,9839|25038|27839|30640|33024|34705|44119|59418|65928|68729|71530|72776|75509,8999|22238|25039|27840|30641|33025|42991|57232|63128|65929|68730|71531|74576
10,20,1,1,0.0025,228,,11639|25390|28191|30992|33235|34916|43492|64122|66923|69724|72175|73109|85895,10799|22590|25391|28192|30993|33236|41988|61322|64123|66924|69725|72176|84962
11,20,0,0,0.0025,218,,11639|25227|28042|30843|33146|34827|45841|61832|66246|69047|71848|72882|77309,10799|22427|25242|28043|30844|33147|44791|59032|63446|66247|69048|71849|76376
12,20,0,0,0.0025,225,4418|4419|4421|4423,13439|25626|28427|31228|33377|35058|44198|64362|67163|69964|72255|73189,12599|22826|25627|28428|31229|33378|43118|61562|64363|67164|69965|72256
13,20,0,0,0.0025,217,,13439|25552|28353|31154|33333|35014|47641|63632|66455|69256|72019|72953|79109,12599|22752|25553|28354|31155|33334|46591|60832|63655|66456|69257|72020|78176
14,20,0,0,0.0025,212,,15239|25965|28766|31567|33580|36215|45968|64534|67335|70136|72312|73246,14399|23165|25966|28767|31568|34535|44918|61734|64535|67336|70137|72313
15,20,0,0,0.0025,225,,15239|25866|28667|31468|33521|35202|49441|64229|67030|69831|72210|73144|80909,14399|23066|25867|28668|31469|33522|48391|61429|64230|67031|69832|72211|79976
16,20,0,0,0.0025,215,,17039|26206|29007|31808|33725|36990|47768|64696|67497|70298|72366|73300,16199|23406|26207|29008|31809|35310|46718|61896|64697|67498|70299|72367
17,20,0,0,0.0025,226,,17039|26069|28870|31671|33643|35324|51241|64498|67299|70100|72300|73234|82709,16199|23269|26070|28871|31672|33644|50191|61698|64499|67300|70101|72301|81776
18,20,0,0,0.0025,213,,18839|26440|29241|32042|33865|38370|49568|64913|67714|70515|72438|73372,17999|23640|26441|29242|32043|36690|48518|62113|64914|67715|70516|72439
19,20,0,0,0.0025,228,,18839|26321|29122|31923|33794|35842|53011|64684|67485|70286|72362|75095|84509,17999|23521|26322|29123|31924|34162|51961|61884|64685|67486|70287|74162|83576
