id,max_passengers,state,distance,speed,passenger_served,current_passengers,arrive_times,embark_times
0,20,1,1,0.0025,300,,10336|26009|28810|31611|33607|35288|36969|39561|59536|64538|67339|70140|72313|73247|74181,9496|23209|26010|28811|31612|33608|35289|37881|57276|61738|64539|67340|70141|72314|73248
1,20,0,0,0.0025,300,,13898|26366|29167|31968|33821|35502|37183|43078|50799|65336|68137|70938|72579|73513|74447,13058|23566|26367|29168|31969|33822|35503|41398|49749|62536|65337|68138|70939|72580|73514
2,20,1,1,0.0025,300,,24419|27220|30021|32653|34334|36015|37696|40868|62520|65321|68122|70923|72574|73508|76263,21619|24420|27221|30022|32654|34335|36016|39188|59720|62521|65322|68123|70924|72575|75330
3,20,0,0,0.0025,300,,24425|27226|30027|32656|34337|36018|37699|44025|53230|65552|68353|71154|72651|73585|74519,21625|24426|27227|30028|32657|34338|36019|42841|52180|62752|65553|68354|71155|72652|73586
4,20,1,1,0.0025,300,,24705|27506|30307|32824|34505|36186|37867|41838|64092|66893|69694|72165|73099|74033|82488,21905|24706|27507|30308|32825|34506|36187|40158|61292|64093|66894|69695|72166|73100|81555
5,20,0,0,0.0025,300,,24703|27504|30305|32823|34504|36185|37866|45400|55831|65788|68589|71390|72730|73664|74598,21903|24704|27505|30306|32824|34505|36186|44350|54781|62988|65789|68590|71391|72731|73665
6,20,0,0,0.0025,297,4369|4370|4375|4376|4377|4378|4379|4380|4381|4385|4386|4390|4391|4393|4395|4397|4399,24960|27761|30562|32977|34658|36339|38020|42878|64282|67083|69884|72228|73162|74096,22160|24961|27762|30563|32978|34659|36340|41198|61482|64283|67084|69885|72229|73163
7,20,0,0,0.0025,300,,24876|27677|30478|32927|34608|36289|37970|48938|59746|66209|69010|71811|72870|73804|74738,22076|24877|27678|30479|32928|34609|36290|47888|57355|63409|66210|69011|71812|72871|73805
8,20,0,0,0.0025,280,,25223|28024|30825|33135|34816|36497|38202|43801|64523|67324|70125|72308|73242|74176,22423|25224|28025|30826|33136|34817|36522|42483|61723|64524|67325|70126|72309|73243
9,20,0,0,0.0025,300,,25083|27884|30685|33051|34732|36413|38094|51496|61918|66417|69218|72006|72940|73874|79156,22283|25084|27885|30686|33052|34733|36414|50446|59118|63617|66418|69219|72007|72941|78223
10,20,0,0,0.0025,280,,25520|28321|31122|33313|34994|36675|39426|44245|64757|67558|70359|72386|73320|74254,22720|25521|28322|31123|33314|34995|37746|43193|61957|64758|67559|70360|72387|73321
11,20,0,0,0.0025,300,,25322|28123|30924|33195|34876|36557|38238|53565|64011|66812|69613|72138|73072|74006|86077,22522|25323|28124|30925|33196|34877|36558|52515|61211|64012|66813|69614|72139|73073|85144
12,20,0,0,0.0025,280,,25820|28621|31422|33493|35174|36855|40280|46527|64943|67744|70545|72448|73382|74316,23020|25821|28622|31423|33494|35175|38600|45477|62143|64944|67745|70546|72449|73383
13,20,1,1,0.0025,283,4394|4396|4398,25607|28408|31209|33366|35047|36728|38409|55627|64292|67093|69894|72231|73165|74099,22807|25608|28409|31210|33367|35048|36729|54577|61492|64293|67094|69895|72232|73166
14,20,0,0,0.0025,280,,26125|28926|31727|33676|35357|37038|41585|49140|65138|67939|70740|72513|73447|74381,23325|26126|28927|31728|33677|35358|39905|48090|62338|65139|67940|70741|72514|73448
