passenger_id,terminal_arrival_time,board_time,leave_time,destination_arrival_time,boarded_jeep,terminal
0,482,482,13058,13898,1,1
1,508,508,9496,10336,0,0
2,710,710,9496,10336,0,0
3,1384,1384,9496,10336,0,0
4,1461,1461,13058,13898,1,1
5,2339,2339,13058,13898,1,1
6,2601,2601,9496,10336,0,0
7,2710,2710,13058,13898,1,1
8,2741,2741,13058,13898,1,1
9,2770,2770,9496,10336,0,0
10,3521,3521,13058,13898,1,1
11,4172,4172,9496,10336,0,0
12,4746,4746,9496,10336,0,0
13,4792,4792,9496,10336,0,0
14,5236,5236,9496,10336,0,0
15,5267,5267,13058,13898,1,1
16,5453,5453,13058,13898,1,1
17,6119,6119,9496,10336,0,0
18,6142,6142,9496,10336,0,0
19,6780,6780,13058,13898,1,1
20,7459,7459,13058,13898,1,1
21,7789,7789,9496,10336,0,0
22,7901,7901,13058,13898,1,1
23,8184,8184,9496,10336,0,0
24,8308,8308,13058,13898,1,1
25,8527,8527,9496,10336,0,0
26,8554,8554,9496,10336,0,0
27,8762,8762,9496,10336,0,0
28,8775,8775,9496,10336,0,0
29,9226,9226,9496,10336,0,0
30,9457,9457,9496,10336,0,0
31,9496,9496,9496,10336,0,0
32,10059,10059,13058,13898,1,1
33,10614,10614,13058,13898,1,1
34,10710,10710,13058,13898,1,1
35,11374,11374,13058,13898,1,1
36,11426,11426,21619,24419,2,0
37,11451,11451,13058,13898,1,1
38,11625,11625,21619,24419,2,0
39,11902,11902,13058,13898,1,1
40,12033,12033,21619,24419,2,0
41,12116,12116,13058,13898,1,1
42,12486,12486,21619,24419,2,0
43,13058,13058,13058,13898,1,1
44,13366,13366,21625,24425,3,1
45,13674,13674,21625,24425,3,1
46,13820,13820,21619,24419,2,0
47,13898,13898,21619,24419,2,0
48,14090,14090,21625,24425,3,1
49,14181,14181,21619,24419,2,0
50,14192,14192,21625,24425,3,1
51,14663,14663,21625,24425,3,1
52,14953,14953,21625,24425,3,1
53,15240,15240,21619,24419,2,0
54,15466,15466,21625,24425,3,1
55,16287,16287,21625,24425,3,1
56,16288,16288,21619,24419,2,0
57,16674,16674,21625,24425,3,1
58,16816,16816,21625,24425,3,1
59,17074,17074,21619,24419,2,0
60,17378,17378,21625,24425,3,1
61,17388,17388,21625,24425,3,1
62,17406,17406,21619,24419,2,0
63,17530,17530,21625,24425,3,1
64,17847,17847,21619,24419,2,0
65,18703,18703,21619,24419,2,0
66,18742,18742,21625,24425,3,1
67,18800,18800,21619,24419,2,0
68,19451,19451,21619,24419,2,0
69,19692,19692,21619,24419,2,0
70,20422,20422,21625,24425,3,1
71,20789,20789,21619,24419,2,0
72,21136,21136,21619,24419,2,0
73,21304,21304,21625,24425,3,1
74,21513,21513,21625,24425,3,1
75,21588,21588,21619,24419,2,0
76,21603,21603,21625,24425,3,1
77,21619,21619,21619,24419,2,0
78,21621,21621,21625,24425,3,1
79,21625,21625,21905,24705,4,0
80,21625,21625,21625,24425,3,1
81,21627,21627,21903,24703,5,1
82,21638,21638,21903,24703,5,1
83,21640,21640,21903,24703,5,1
84,21646,21646,21903,24703,5,1
85,21650,21650,21903,24703,5,1
86,21660,21660,21905,24705,4,0
87,21660,21660,21903,24703,5,1
88,21690,21690,21905,24705,4,0
89,21706,21706,21905,24705,4,0
90,21707,21707,21905,24705,4,0
91,21714,21714,21905,24705,4,0
92,21718,21718,21903,24703,5,1
93,21720,21720,21905,24705,4,0
94,21721,21721,21905,24705,4,0
95,21738,21738,21903,24703,5,1
96,21739,21739,21903,24703,5,1
97,21742,21742,21903,24703,5,1
