passenger_id,terminal_arrival_time,board_time,leave_time,destination_arrival_time,boarded_jeep,terminal
0,323,323,1799,2639,0,0
1,423,423,1799,2639,0,0
2,692,692,1799,2639,1,1
3,808,808,1799,2639,0,0
4,1422,1422,1799,2639,1,1
5,2048,2048,3599,4439,3,1
6,2067,2067,3599,4439,2,0
7,2807,2807,3599,4439,2,0
8,3923,3923,5399,6239,5,1
9,4083,4083,5399,6239,5,1
10,4089,4089,5399,6239,5,1
11,4402,4402,5399,6239,5,1
12,4640,4640,5399,6239,5,1
13,4711,4711,5399,6239,5,1
14,4785,4785,5399,6239,4,0
15,4914,4914,5399,6239,5,1
16,5002,5002,5399,6239,5,1
17,5021,5021,5399,6239,5,1
18,5538,5538,7199,8039,7,1
19,6091,6091,7199,8039,7,1
20,6462,6462,7199,8039,6,0
21,6851,6851,7199,8039,7,1
22,7526,7526,8999,9839,8,0
23,7636,7636,8999,9839,8,0
24,7767,7767,8999,9839,9,1
25,8162,8162,8999,9839,8,0
26,8242,8242,8999,9839,9,1
27,8331,8331,8999,9839,9,1
28,9115,9115,10799,11639,10,0
29,9275,9275,10799,11639,10,0
30,9626,9626,10799,11639,11,1
31,9832,9832,10799,11639,10,0
32,10673,10673,10799,11639,11,1
33,10774,10774,10799,11639,11,1
34,10956,10956,12599,13439,12,0
35,12185,12185,12599,13439,13,1
36,12418,12418,12599,13439,12,0
37,13120,13120,14399,15239,14,0
38,14168,14168,14399,15239,0,1
39,14215,14215,14399,15239,14,0
40,14308,14308,14399,15239,0,1
41,15487,15487,16199,17039,2,1
42,15596,15596,16199,17039,2,1
43,15793,15793,16199,17039,2,1
44,16086,16086,16199,17039,1,0
45,16256,16256,17999,18839,3,0
46,16516,16516,17999,18839,4,1
47,16566,16566,17999,18839,4,1
48,17095,17095,17999,18839,4,1
49,17133,17133,17999,18839,4,1
50,17189,17189,17999,18839,4,1
51,17760,17760,17999,18839,3,0
52,18030,18030,19799,20639,6,1
53,18034,18034,19799,20639,5,0
54,18531,18531,19799,20639,6,1
55,19158,19158,19799,20639,6,1
56,19676,19676,19799,20639,6,1
57,19733,19733,19799,20639,6,1
58,19980,19980,21599,24396,8,1
59,19981,19981,21599,24396,7,0
60,20299,20299,21599,24396,7,0
61,20390,20390,21599,24396,7,0
62,20525,20525,21599,24396,8,1
63,20814,20814,21599,24396,7,0
64,21203,21203,21599,24396,7,0
65,21388,21388,21599,24396,8,1
66,21603,21603,21829,24629,9,0
67,21611,21611,21957,24757,10,1
68,21619,21619,21829,24629,9,0
69,21628,21628,21829,24629,9,0
70,21628,21628,21957,24757,10,1
71,21634,21634,21829,24629,9,0
72,21653,21653,21957,24757,10,1
73,21659,21659,21829,24629,9,0
74,21663,21663,21957,24757,10,1
75,21666,21666,21829,24629,9,0
76,21691,21691,21957,24757,10,1
77,21701,21701,21829,24629,9,0
78,21701,21701,21957,24757,10,1
79,21714,21714,21829,24629,9,0
80,21726,21726,21957,24757,10,1
81,21752,21752,21829,24629,9,0
82,21757,21757,21957,24757,10,1
83,21761,21761,21829,24629,9,0
84,21765,21765,21829,24629,9,0
85,21772,21772,21957,24757,10,1
86,21773,21773,21829,24629,9,0
87,21775,21775,21829,24629,9,0
88,21780,21780,21957,24757,10,1
89,21784,21784,21829,24629,9,0
90,21788,21788,21829,24629,9,0
91,21798,21798,21957,24757,10,1
92,21804,21804,21957,24757,10,1
93,21812,21812,21829,24629,9,0
94,21813,21813,21829,24629,9,0
95,21815,21815,21957,24757,10,1
96,21820,21820,21829,24629,9,0
97,21826,21826,21829,24629,9,0
98,21829,21829,21829,24629,9,0
99,21835,21835,22114,24914,11,0
100,21842,21842,22114,24914,11,0
101,21886,21886,22114,24914,11,0
102,21901,21901,22114,24914,11,0
103,21905,21905,21957,24757,10,1
104,21909,21909,21957,24757,10,1
105,21917,21917,22114,24914,11,0
106,21919,21919,22114,24914,11,0
107,21919,21919,21957,24757,10,1
108,21923,21923,21957,24757,10,1
109,21933,21933,22114,24914,11,0
110,21938,21938,22114,24914,11,0
111,21949,21949,21957,24757,10,1
112,21954,21954,21957,24757,10,1
113,21957,21957,21957,24757,10,1
114,21960,21960,22214,25014,12,1
115,21961,21961,22214,25014,12,1
116,21963,21963,22114,24914,11,0
117,21973,21973,22114,24914,11,0
118,21973,21973,22214,25014,12,1
119,21974,21974,22214,25014,12,1
120,21988,21988,22214,25014,12,1
121,22003,22003,22114,24914,11,0
122,22008,22008,22214,25014,12,1
123,22013,22013,22214,25014,12,1
124,22029,22029,22114,24914,11,0
125,22032,22032,22114,24914,11,0
126,22049,22049,22114,24914,11,0
127,22054,22054,22214,25014,12,1
128,22056,22056,22214,25014,12,1
129,22057,22057,22114,24914,11,0
130,22065,22065,22214,25014,12,1
131,22066,22066,22114,24914,11,0
132,22068,22068,22214,25014,12,1
133,22072,22072,22114,24914,11,0
134,22082,22082,22114,24914,11,0
135,22086,22086,22214,25014,12,1
136,22087,22087,22214,25014,12,1
137,22112,22112,22114,24914,11,0
138,22114,22114,22114,24914,11,0
139,22118,22118,22321,25121,13,0
140,22132,22132,22321,25121,13,0
141,22134,22134,22321,25121,13,0
142,22139,22139,22321,25121,13,0
143,22139,22139,22214,25014,12,1
144,22148,22148,22321,25121,13,0
145,22164,22164,22214,25014,12,1
146,22165,22165,22321,25121,13,0
147,22169,22169,22214,25014,12,1
148,22177,22177,22214,25014,12,1
149,22179,22179,22214,25014,12,1
150,22198,22198,22214,25014,12,1
151,22214,22214,22214,25014,12,1
152,22218,22218,22321,25121,13,0
153,22219,22219,22321,25121,13,0
154,22225,22225,22356,25156,14,1
155,22226,22226,22356,25156,14,1
156,22227,22227,22356,25156,14,1
157,22231,22231,22356,25156,14,1
158,22233,22233,22356,25156,14,1
159,22234,22234,22356,25156,14,1
160,22236,22236,22356,25156,14,1
161,22239,22239,22321,25121,13,0
162,22248,22248,22321,25121,13,0
163,22250,22250,22356,25156,14,1
164,22254,22254,22321,25121,13,0
165,22256,22256,22356,25156,14,1
166,22260,22260,22321,25121,13,0
167,22262,22262,22321,25121,13,0
168,22264,22264,22356,25156,14,1
169,22274,22274,22356,25156,14,1
170,22279,22279,22356,25156,14,1
171,22285,22285,22321,25121,13,0
172,22288,22288,22321,25121,13,0
173,22289,22289,22356,25156,14,1
174,22299,22299,22321,25121,13,0
175,22304,22304,22321,25121,13,0
176,22305,22305,22356,25156,14,1
177,22308,22308,22321,25121,13,0
178,22308,22308,22356,25156,14,1
179,22312,22312,22321,25121,13,0
180,22321,22321,22321,25121,13,0
181,22322,22322,22356,25156,14,1
182,22323,22323,22552,25352,0,0
183,22325,22325,22356,25156,14,1
184,22332,22332,22552,25352,0,0
185,22334,22334,22552,25352,0,0
186,22337,22337,22552,25352,0,0
187,22342,22342,22552,25352,0,0
188,22343,22343,22356,25156,14,1
189,22349,22349,22356,25156,14,1
190,22356,22356,22356,25156,14,1
191,22358,22358,22575,25375,1,1
192,22364,22364,22552,25352,0,0
193,22374,22374,22575,25375,1,1
194,22382,22382,22575,25375,1,1
195,22383,22383,22575,25375,1,1
196,22387,22387,22552,25352,0,0
197,22398,22398,22552,25352,0,0
198,22399,22399,22552,25352,0,0
199,22407,22407,22575,25375,1,1
200,22423,22423,22575,25375,1,1
201,22453,22453,22552,25352,0,0
202,22459,22459,22552,25352,0,0
203,22466,22466,22552,25352,0,0
204,22467,22467,22575,25375,1,1
205,22474,22474,22575,25375,1,1
206,22475,22475,22552,25352,0,0
207,22475,22475,22575,25375,1,1
208,22487,22487,22575,25375,1,1
209,22488,22488,22575,25375,1,1
210,22494,22494,22552,25352,0,0
211,22497,22497,22552,25352,0,0
212,22501,22501,22552,25352,0,0
213,22504,22504,22575,25375,1,1
214,22508,22508,22575,25375,1,1
215,22514,22514,22552,25352,0,0
216,22521,22521,22575,25375,1,1
217,22535,22535,22575,25375,1,1
218,22536,22536,22575,25375,1,1
219,22539,22539,22575,25375,1,1
220,22541,22541,22552,25352,0,0
